  Water ice, from Warren (1984), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1              k
  2.44550551e-02  -5.41538000e-02  3.73333000e-02
  2.47959304e-02  -5.51324000e-02  3.88202000e-02
  2.51416051e-02  -5.60615000e-02  4.03667000e-02
  2.54920280e-02  -5.69307000e-02  4.19135000e-02
  2.58474056e-02  -5.77803000e-02  4.34011000e-02
  2.62076856e-02  -5.87046000e-02  4.48833000e-02
  2.65730314e-02  -5.96723000e-02  4.64172000e-02
  2.69434437e-02  -6.06629000e-02  4.80049000e-02
  2.73189774e-02  -6.16693000e-02  4.96481000e-02
  2.76998112e-02  -6.26874000e-02  5.13490000e-02
  2.80859478e-02  -6.37135000e-02  5.31096000e-02
  2.84774486e-02  -6.47448000e-02  5.49321000e-02
